Question,Golden reponse
Les activités de loisirs et de sports extérieurs,"À partir du 20 mai 2020, la pratique récréative individuelle sans contact sera permise pour les activités suivantes pour l’ensemble des régions.
**Activités de loisir en pratique libre non organisée**
*   Canot et kayak d’eau vive et d’eau calme
*   Course à pied
*   Escalade de rocher
*   Kitesurf
*   Pêche à la journée
*   Planche à pagaie
*   Plongée sous-marine, apnée sportive extérieure
*   Randonnée à cheval extérieure
*   Randonnée pédestre
*   Surf
**Activités sportives récréatives indiv [...]",1
Est-ce qu'il est sécuritaire ou permis de garder les enfants d'amis ou de proches afin de leur rendre service?,"Il est recommandé de restreindre ses déplacements le plus possible et, à toutes les personnes qui n’offrent pas de services essentiels, de rester à la maison. Toutefois, il est possible de garder les enfants d'une personne qui n’a pas accès aux services de garde ou pour qui l’enfant ne peut retourner à l’école si cela est nécessaire et que les conditions suivantes sont respectées :
*   vous êtes en bonne santé;
*   aucune des personnes ne présente des symptômes de fièvre, d’apparition ou d’aggra [...]",1
est-ce que je peux voire mes amis,"Misez sur des stratégies de socialisation à distance, qui vous aideront à maintenir et même augmenter les liens avec vos proches en utilisant des moyens de communication alternatifs.
Il ne faut pas minimiser les effets positifs de la socialisation à distance, puisque le maintien de vos relations sociales a un impact positif sur votre santé physique et psychologique dans chaque étape de la vie.
Par exemple, vous pouvez utiliser des moyens de communication directs, indirects ou encore vous montrer [...]",0.396
est-ce que la saaq est ouverte?,*   [Société de l'assurance automobile du Québec (SAAQ)](https://saaq.gouv.qc.ca/salle-de-presse/covid-19-foire-aux-questions/),1
C'est quoi le covid?,"En décembre 2019, l'Organisation mondiale de la Santé a été alertée de plusieurs cas de pneumonie à Wuhan, en Chine. Le virus responsable de la maladie ne correspondait à aucun autre virus connu. Le 7 janvier 2020, la Chine a confirmé avoir détecté un nouveau virus de la famille des coronavirus responsable de cette nouvelle maladie nommée la COVID‑19.
Pour en savoir plus, consultez la page sur la [Situation du coronavirus (COVID‑19) au Québec](https://www.quebec.ca/sante/problemes-de-sante/a-z/c [...]",1
c'est pour quand l'ouverture des écoles,"**Depuis le 11 mai,** les établissements préscolaires et primaires rouvrent progressivement aux élèves dans l’ensemble des régions du Québec, à l’exception de ceux sur le territoire de la communauté métropolitaine de Montréal (CMM) et sur le territoire de la municipalité régionale de comté (MRC) de Joliette. Ces derniers restent fermés pour les élèves **jusqu’à la fin août**.
Les écoles secondaires demeureront aussi fermées pour les élèves **jusqu’à la fin août**. Les apprentissages à distance d [...]",0.346
où je peux me faire dépister ,"Toute personne qui a des symptômes s’apparentant à ceux de la [COVID‑19](https://www.quebec.ca/sante/problemes-de-sante/a-z/informations-generales-sur-le-coronavirus/#c46469) doit appeler la ligne [1 877 644‑4545](tel:+1-877-644-4545) pour être dirigée, au besoin, vers la ressource appropriée.
De plus, pour les personnes résidant dans des régions ou des quartiers où l’on observe une plus haute densité de transmission communautaire qui développent des symptômes doivent consulter le site Web de le [...]",0.35
comment se protéger de la covid-19?,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.957
qui sont les personnes les plus touchées par la covid-19?,"Le risque de complications graves pour les personnes atteintes de la COVID‑19 augmente avec l’âge, mais il est présent même chez les jeunes adultes. Le risque de décès à la suite de complications respiratoires graves (pneumonie ou syndrome respiratoire aigu) dues à la COVID‑19 est particulièrement élevé chez :
*   les personnes âgées de 70 ans et plus;
*   les personnes ayant un système immunitaire affaibli;
*   les personnes atteintes de maladies chroniques telles que :
    *   le diabète;
    [...]",0.404
je n'ai aucun symptôme de covid. puis-je aller prendre une marche ?,"Sauf si vous avez reçu la consigne de vous isoler pendant 14 jours. Dans ce cas, vous devez rester confiné à la maison, ce qui inclut aussi que vous ne pouvez pas aller marcher jusqu’à la fin de votre isolement.
Si vous n’avez pas reçu la consigne de vous isoler :
*   Pour les personnes qui vivent dans un CHSLD ou une résidence privée pour aînés ou celles qui sont confiées en ressources intermédiaires et en ressources de type familial (RI‑RTF), les sorties à l’extérieur sont tolérées, mais elles [...]",0.204
"je suis malade, quoi faire? ","Dans un contexte de pandémie, de nombreuses personnes vivront des réactions de stress, d’anxiété et de déprime. Pour vous aider à minimiser les répercussions de telles réactions dans votre vie, consultez la page [Stress, anxiété et déprime associés à la maladie à coronavirus COVID‑19](https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/stress-anxiete-et-deprime-associes-a-la-maladie-a-coronavirus-covid-19/).
Aucun traitement spécifique ni vaccin n’existe pour la COVID‑19. Des tra [...]",0.23
Qu'est-ce que le COVID?,"La COVID-19 appartient à la grande famille des coronavirus. Ce virus provoque une infection respiratoire qui cause des symptômes pouvant être légers et s’apparenter à ceux du rhume, mais qui peuvent aussi être plus sévères, comme ceux associés à la pneumonie et à l’insuffisance pulmonaire. On peut s'en protéger en se lavant fréquemment les mains, et en évitant de se toucher le visage.",1
comment se protéger du covid-19,"Le coronavirus (COVID‑19) peut vivre sur les objets et surfaces. Sa durée de vie est de quelques heures à plusieurs jours. Cela dépend notamment du type de surface (par exemple : cuivre, carton, acier inoxydable, plastique), de la température et de l’humidité ambiante.
Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus.
 [...]",0.514
Les activités et services commerciaux prioritaires,"Oui, en cas de nécessité. Cependant, dans la mesure du possible, il est préférable d’éviter de les amener à l’intérieur des commerces.",1
que puis je te demander?,Désolé. Je ne suis pas un robot de conversation. Mon rôle est de répondre le plus efficacement possible à vos questions sur la COVID-19.,0.336
puis-je aller camper ?,"Afin de protéger la population, le gouvernement du Québec interdit les rassemblements intérieurs et extérieurs. Quelques exceptions, présentées dans la page [Rassemblements et événements](https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/rassemblements-evenements-covid19/), sont toutefois prévues.
Si une personne doit se rendre dans un rassemblement qui fait partie des exceptions autorisées par le gouvernement du Québec, elle est invitée à limiter au maximum la durée de ses pré [...]",0.196
Quelles sont les mesures préventive qui devrait être prise par les entreprises?,"Pour outiller les secteurs offrant des services et activités prioritaires dans la mise en place de mesures de prévention, l’Institut national de santé publique du Québec (INSPQ) a produit différentes recommandations intérimaires. Celles-ci présentent des mesures à appliquer afin de protéger la santé de ceux qui fréquentent ces milieux de travail. Ces documents sont disponibles [sur le site de l’INSPQ](http://www.inspq.qc.ca/covid-19/sante-au-travail) .
Des outils à l’attention des établissements [...]",1
peut-on louer un chalet ?,"*   Les hôtels et les motels.
*   Les campings désignés pour l’accueil des _snowbirds_, lesquels sont répertoriés sur le site de Camping Québec.
Tous les terrains de camping doivent demeurer fermés, à l’exception des terrains qui accueillent les _snowbirds_ n’ayant pas d’autre option de logement en sol québécois. Pour accueillir ces derniers, le camping doit offrir les trois services (eau, électricité, égout) afin de s’assurer que le campeur peut demeurer en confinement obligatoire pendant 14 jo [...]",0.482
est-ce que je peux aller faire du ski,"Dans la foulée de l’évolution épidémiologique de la COVID-19, il a été annoncé par le premier ministre du Québec, M. François Legault, que tous les lieux publics de loisirs et de sports doivent fermer. Voici donc des précisions liées à la fermeture de ces lieux. À noter que cette liste est non exhaustive et pourra évoluer.
Exemples de lieux visés :
*   Stations de ski
*   Centres de conditionnement physique et d’entraînement intérieurs (ex. : entraînement en salle, yoga, cardiovélo, tennis, socc [...]",0.399
existe-t-il un médicament?,"Il n'existe pas de traitement spécifique ni de vaccin pour la COVID‑19 pour l’instant. La plupart des personnes atteintes du virus se rétablissent par elles-mêmes en restant à la maison, sans avoir besoin d’aller à l’hôpital.
Toutefois, les personnes infectées par le virus, surtout celles qui sont gravement malades, doivent recevoir des soins particuliers pour soulager et traiter les symptômes. Par exemple, il peut être nécessaire de leur administrer de l’acétaminophène en cas de fièvre, de l’ox [...]",0.263
